DATASET;PREPROCESS;CLASSIFIER_NAME;IDX_EXTERNAL;FEATURES_NUMBER;PARAMS;METRICS_DICT
CC;PCA;LR;0;10;{'C': 0.1};{'BAL_ACC': 0.5649585921325052, 'AUC_SCORE': 0.6030020703933747, 'PRECISION': 0.36619718309859156, 'RECALL': 0.6190476190476191, 'MCC': 0.1207496023417504, 'Confusion': array([[47, 45], [16, 26]], dtype=int64)}
CC;PCA;LR;1;6;{'C': 100.0};{'BAL_ACC': 0.5639233954451346, 'AUC_SCORE': 0.5494306418219462, 'PRECISION': 0.36764705882352944, 'RECALL': 0.5952380952380952, 'MCC': 0.1186265679923503, 'Confusion': array([[49, 43], [17, 25]], dtype=int64)}
CC;PCA;LR;2;4;{'C': 0.1};{'BAL_ACC': 0.6138716356107661, 'AUC_SCORE': 0.6728778467908902, 'PRECISION': 0.41935483870967744, 'RECALL': 0.6190476190476191, 'MCC': 0.21188588188766322, 'Confusion': array([[56, 36], [16, 26]], dtype=int64)}
CC;PCA;LR;3;7;{'C': 1.0};{'BAL_ACC': 0.5952380952380952, 'AUC_SCORE': 0.5649585921325051, 'PRECISION': 0.38666666666666666, 'RECALL': 0.6904761904761905, 'MCC': 0.1779928749862486, 'Confusion': array([[46, 46], [13, 29]], dtype=int64)}
CC;PCA;LR;4;4;{'C': 1.0};{'BAL_ACC': 0.5509834368530021, 'AUC_SCORE': 0.5745341614906833, 'PRECISION': 0.359375, 'RECALL': 0.5476190476190477, 'MCC': 0.09469753098701661, 'Confusion': array([[51, 41], [19, 23]], dtype=int64)}
CC;PCA;LR;5;4;{'C': 10.0};{'BAL_ACC': 0.6356107660455487, 'AUC_SCORE': 0.6216356107660455, 'PRECISION': 0.4482758620689655, 'RECALL': 0.6190476190476191, 'MCC': 0.2539346297689368, 'Confusion': array([[60, 32], [16, 26]], dtype=int64)}
CC;PCA;LR;6;4;{'C': 0.1};{'BAL_ACC': 0.5973084886128365, 'AUC_SCORE': 0.6045548654244306, 'PRECISION': 0.38271604938271603, 'RECALL': 0.7380952380952381, 'MCC': 0.18463704353729474, 'Confusion': array([[42, 50], [11, 31]], dtype=int64)}
CC;PCA;LR;7;15;{'C': 1.0};{'BAL_ACC': 0.5540890269151139, 'AUC_SCORE': 0.5758281573498965, 'PRECISION': 0.3561643835616438, 'RECALL': 0.6190476190476191, 'MCC': 0.10077002709579973, 'Confusion': array([[45, 47], [16, 26]], dtype=int64)}
CC;PCA;LR;8;4;{'C': 100.0};{'BAL_ACC': 0.5910973084886129, 'AUC_SCORE': 0.6237060041407867, 'PRECISION': 0.3968253968253968, 'RECALL': 0.5952380952380952, 'MCC': 0.16933808774619977, 'Confusion': array([[54, 38], [17, 25]], dtype=int64)}
CC;PCA;LR;9;10;{'C': 0.1};{'BAL_ACC': 0.5986024844720497, 'AUC_SCORE': 0.6226708074534162, 'PRECISION': 0.39705882352941174, 'RECALL': 0.6428571428571429, 'MCC': 0.18298268180196545, 'Confusion': array([[51, 41], [15, 27]], dtype=int64)}
CC;PCA;LR;10;4;{'C': 1.0};{'BAL_ACC': 0.5822981366459627, 'AUC_SCORE': 0.5869565217391305, 'PRECISION': 0.38028169014084506, 'RECALL': 0.6428571428571429, 'MCC': 0.1529815679070782, 'Confusion': array([[48, 44], [15, 27]], dtype=int64)}
