DATASET;PREPROCESS;CLASSIFIER_NAME;IDX_EXTERNAL;FEATURES_NUMBER;PARAMS;METRICS_DICT
CC;mRMR;SVC;0;3;{'gamma': 1.0, 'C': 1000.0};{'BAL_ACC': 0.5735930735930737, 'AUC_SCORE': 0.6190476190476191}
CC;mRMR;SVC;1;9;{'gamma': 10.0, 'C': 1.0};{'BAL_ACC': 0.5086580086580086, 'AUC_SCORE': 0.5029515938606848}
CC;mRMR;SVC;2;4;{'gamma': 10.0, 'C': 1.0};{'BAL_ACC': 0.5584415584415584, 'AUC_SCORE': 0.6040928768201496}
CC;mRMR;SVC;3;4;{'gamma': 1.0, 'C': 1000.0};{'BAL_ACC': 0.5541125541125541, 'AUC_SCORE': 0.5245966155057065}
CC;mRMR;SVC;4;50;{'gamma': 0.01, 'C': 1000.0};{'BAL_ACC': 0.5909090909090908, 'AUC_SCORE': 0.5702479338842974}
CC;mRMR;SVC;5;6;{'gamma': 1.0, 'C': 1000.0};{'BAL_ACC': 0.5454545454545454, 'AUC_SCORE': 0.5489964580873672}
CC;mRMR;SVC;6;100;{'gamma': 1.0, 'C': 1.0};{'BAL_ACC': 0.5887445887445888, 'AUC_SCORE': 0.5694608421881149}
CC;mRMR;SVC;7;10;{'gamma': 10.0, 'C': 1.0};{'BAL_ACC': 0.5714285714285714, 'AUC_SCORE': 0.6524990161353799}
CC;mRMR;SVC;8;75;{'gamma': 0.1, 'C': 100.0};{'BAL_ACC': 0.5324675324675324, 'AUC_SCORE': 0.5179063360881543}
CC;mRMR;SVC;9;50;{'gamma': 1.0, 'C': 1.0};{'BAL_ACC': 0.5432900432900433, 'AUC_SCORE': 0.587957497048406}
CC;mRMR;SVC;10;2;{'gamma': 10.0, 'C': 100.0};{'BAL_ACC': 0.5735930735930735, 'AUC_SCORE': 0.5159386068476978}
CC;mRMR;SVC;11;40;{'gamma': 1.0, 'C': 1.0};{'BAL_ACC': 0.5454545454545454, 'AUC_SCORE': 0.5859897678079496}
CC;mRMR;SVC;12;3;{'gamma': 100.0, 'C': 100.0};{'BAL_ACC': 0.6060606060606061, 'AUC_SCORE': 0.5899252262888627}
CC;mRMR;SVC;13;100;{'gamma': 0.01, 'C': 1000.0};{'BAL_ACC': 0.5238095238095238, 'AUC_SCORE': 0.5761511216056671}
CC;mRMR;SVC;14;7;{'gamma': 0.1, 'C': 10.0};{'BAL_ACC': 0.538961038961039, 'AUC_SCORE': 0.5608028335301063}
CC;mRMR;SVC;15;40;{'gamma': 1.0, 'C': 1.0};{'BAL_ACC': 0.5021645021645021, 'AUC_SCORE': 0.5336481700118063}
CC;mRMR;SVC;16;9;{'gamma': 0.1, 'C': 1.0};{'BAL_ACC': 0.49567099567099565, 'AUC_SCORE': 0.5060999606454152}
CC;mRMR;SVC;17;2;{'gamma': 10.0, 'C': 1000.0};{'BAL_ACC': 0.487012987012987, 'AUC_SCORE': 0.4573002754820937}
CC;mRMR;SVC;18;30;{'gamma': 0.001, 'C': 100.0};{'BAL_ACC': 0.5562770562770563, 'AUC_SCORE': 0.5690672963400236}
CC;mRMR;SVC;19;4;{'gamma': 10.0, 'C': 10.0};{'BAL_ACC': 0.6103896103896104, 'AUC_SCORE': 0.6033057851239669}
CC;mRMR;SVC;20;15;{'gamma': 0.001, 'C': 1000.0};{'BAL_ACC': 0.5541125541125541, 'AUC_SCORE': 0.5938606847697757}
CC;mRMR;SVC;21;40;{'gamma': 0.001, 'C': 100.0};{'BAL_ACC': 0.538961038961039, 'AUC_SCORE': 0.5769382133018497}
CC;mRMR;SVC;22;10;{'gamma': 0.001, 'C': 1000.0};{'BAL_ACC': 0.5606060606060606, 'AUC_SCORE': 0.5879574970484062}
CC;mRMR;SVC;23;4;{'gamma': 10.0, 'C': 10.0};{'BAL_ACC': 0.5800865800865801, 'AUC_SCORE': 0.5745769382133019}
CC;mRMR;SVC;24;8;{'gamma': 1.0, 'C': 1.0};{'BAL_ACC': 0.5151515151515151, 'AUC_SCORE': 0.5273514364423455}
CC;mRMR;SVC;25;8;{'gamma': 0.1, 'C': 10.0};{'BAL_ACC': 0.4632034632034632, 'AUC_SCORE': 0.4883903974813066}
CC;mRMR;SVC;26;5;{'gamma': 1.0, 'C': 1000.0};{'BAL_ACC': 0.4805194805194805, 'AUC_SCORE': 0.4750098386462023}
CC;mRMR;SVC;27;100;{'gamma': 1.0, 'C': 1.0};{'BAL_ACC': 0.5324675324675325, 'AUC_SCORE': 0.5411255411255411}
CC;mRMR;SVC;28;15;{'gamma': 0.1, 'C': 10.0};{'BAL_ACC': 0.5541125541125541, 'AUC_SCORE': 0.6103896103896104}
CC;mRMR;SVC;29;100;{'gamma': 1.0, 'C': 1.0};{'BAL_ACC': 0.5865800865800865, 'AUC_SCORE': 0.615112160566706}
CC;mRMR;SVC;30;30;{'gamma': 0.01, 'C': 1000.0};{'BAL_ACC': 0.5606060606060606, 'AUC_SCORE': 0.5962219598583235}
CC;mRMR;SVC;31;15;{'gamma': 1.0, 'C': 10.0};{'BAL_ACC': 0.5324675324675324, 'AUC_SCORE': 0.5060999606454152}
CC;mRMR;SVC;32;8;{'gamma': 10.0, 'C': 1.0};{'BAL_ACC': 0.6796536796536796, 'AUC_SCORE': 0.654073199527745}
CC;mRMR;SVC;33;3;{'gamma': 10.0, 'C': 10.0};{'BAL_ACC': 0.5346320346320346, 'AUC_SCORE': 0.5009838646202283}
CC;mRMR;SVC;34;8;{'gamma': 0.1, 'C': 10.0};{'BAL_ACC': 0.5670995670995671, 'AUC_SCORE': 0.586383313656041}
CC;mRMR;SVC;35;15;{'gamma': 0.1, 'C': 1000.0};{'BAL_ACC': 0.4783549783549783, 'AUC_SCORE': 0.4801259346713892}
CC;mRMR;SVC;36;40;{'gamma': 0.1, 'C': 1.0};{'BAL_ACC': 0.5562770562770563, 'AUC_SCORE': 0.5922865013774103}
CC;mRMR;SVC;37;75;{'gamma': 0.01, 'C': 1000.0};{'BAL_ACC': 0.5476190476190477, 'AUC_SCORE': 0.49901613537977174}
CC;mRMR;SVC;38;15;{'gamma': 0.01, 'C': 1000.0};{'BAL_ACC': 0.5216450216450217, 'AUC_SCORE': 0.5190869736324282}
CC;mRMR;SVC;39;15;{'gamma': 10.0, 'C': 1.0};{'BAL_ACC': 0.6255411255411256, 'AUC_SCORE': 0.6210153482880755}
CC;mRMR;SVC;40;4;{'gamma': 0.1, 'C': 1000.0};{'BAL_ACC': 0.5497835497835498, 'AUC_SCORE': 0.5312868949232585}
CC;mRMR;SVC;41;50;{'gamma': 0.01, 'C': 10.0};{'BAL_ACC': 0.5670995670995671, 'AUC_SCORE': 0.5560802833530106}
CC;mRMR;SVC;42;30;{'gamma': 0.001, 'C': 100.0};{'BAL_ACC': 0.5151515151515151, 'AUC_SCORE': 0.581267217630854}
CC;mRMR;SVC;43;5;{'gamma': 0.1, 'C': 100.0};{'BAL_ACC': 0.5367965367965368, 'AUC_SCORE': 0.560409287682015}
CC;mRMR;SVC;44;9;{'gamma': 10.0, 'C': 1.0};{'BAL_ACC': 0.5909090909090909, 'AUC_SCORE': 0.5871704053522235}
CC;mRMR;SVC;45;10;{'gamma': 0.01, 'C': 1000.0};{'BAL_ACC': 0.5735930735930737, 'AUC_SCORE': 0.6158992522628887}
CC;mRMR;SVC;46;4;{'gamma': 0.1, 'C': 100.0};{'BAL_ACC': 0.512987012987013, 'AUC_SCORE': 0.4691066509248328}
CC;mRMR;SVC;47;1;{'gamma': 1000.0, 'C': 100.0};{'BAL_ACC': 0.538961038961039, 'AUC_SCORE': 0.5245966155057065}
CC;mRMR;SVC;48;15;{'gamma': 1.0, 'C': 10.0};{'BAL_ACC': 0.5649350649350648, 'AUC_SCORE': 0.5375836284927193}
CC;mRMR;SVC;49;1;{'gamma': 1000.0, 'C': 100.0};{'BAL_ACC': 0.577922077922078, 'AUC_SCORE': 0.5832349468713105}
CC;mRMR;SVC;50;75;{'gamma': 0.01, 'C': 100.0};{'BAL_ACC': 0.47619047619047616, 'AUC_SCORE': 0.4919323101141282}
CC;mRMR;SVC;51;5;{'gamma': 0.001, 'C': 1000.0};{'BAL_ACC': 0.5151515151515151, 'AUC_SCORE': 0.4588744588744589}
CC;mRMR;SVC;52;4;{'gamma': 10.0, 'C': 10.0};{'BAL_ACC': 0.5476190476190477, 'AUC_SCORE': 0.5375836284927193}
CC;mRMR;SVC;53;9;{'gamma': 0.01, 'C': 100.0};{'BAL_ACC': 0.5974025974025974, 'AUC_SCORE': 0.6096025186934277}
CC;mRMR;SVC;54;20;{'gamma': 0.1, 'C': 10.0};{'BAL_ACC': 0.5367965367965368, 'AUC_SCORE': 0.5328610783156238}
CC;mRMR;SVC;55;8;{'gamma': 10.0, 'C': 100.0};{'BAL_ACC': 0.44805194805194803, 'AUC_SCORE': 0.3923652105470288}
CC;mRMR;SVC;56;75;{'gamma': 0.1, 'C': 10.0};{'BAL_ACC': 0.6082251082251082, 'AUC_SCORE': 0.6517119244391972}
CC;mRMR;SVC;57;3;{'gamma': 100.0, 'C': 1.0};{'BAL_ACC': 0.48917748917748916, 'AUC_SCORE': 0.5167256985438804}
CC;mRMR;SVC;58;1;{'gamma': 1000.0, 'C': 0.1};{'BAL_ACC': 0.5303030303030303, 'AUC_SCORE': 0.5584415584415584}
CC;mRMR;SVC;59;75;{'gamma': 0.001, 'C': 100.0};{'BAL_ACC': 0.6601731601731602, 'AUC_SCORE': 0.6587957497048406}
CC;mRMR;SVC;60;4;{'gamma': 10.0, 'C': 0.1};{'BAL_ACC': 0.5670995670995671, 'AUC_SCORE': 0.586383313656041}
CC;mRMR;SVC;61;3;{'gamma': 100.0, 'C': 10.0};{'BAL_ACC': 0.5411255411255411, 'AUC_SCORE': 0.6036993309720582}
CC;mRMR;SVC;62;4;{'gamma': 10.0, 'C': 0.1};{'BAL_ACC': 0.5, 'AUC_SCORE': 0.5930735930735931}
CC;mRMR;SVC;63;10;{'gamma': 1.0, 'C': 1.0};{'BAL_ACC': 0.4588744588744589, 'AUC_SCORE': 0.473435655253837}
CC;mRMR;SVC;64;50;{'gamma': 0.1, 'C': 100.0};{'BAL_ACC': 0.5151515151515151, 'AUC_SCORE': 0.44155844155844154}
CC;mRMR;SVC;65;10;{'gamma': 1.0, 'C': 1000.0};{'BAL_ACC': 0.551948051948052, 'AUC_SCORE': 0.534435261707989}
CC;mRMR;SVC;66;3;{'gamma': 0.001, 'C': 1000.0};{'BAL_ACC': 0.5108225108225108, 'AUC_SCORE': 0.5131837859110586}
CC;mRMR;SVC;67;7;{'gamma': 1.0, 'C': 1000.0};{'BAL_ACC': 0.5346320346320346, 'AUC_SCORE': 0.48642266824085006}
CC;mRMR;SVC;68;75;{'gamma': 0.01, 'C': 10.0};{'BAL_ACC': 0.5367965367965368, 'AUC_SCORE': 0.555293191656828}
CC;mRMR;SVC;69;40;{'gamma': 0.001, 'C': 100.0};{'BAL_ACC': 0.5584415584415585, 'AUC_SCORE': 0.6198347107438017}
CC;mRMR;SVC;70;15;{'gamma': 0.001, 'C': 100.0};{'BAL_ACC': 0.5670995670995671, 'AUC_SCORE': 0.5816607634789452}
CC;mRMR;SVC;71;9;{'gamma': 0.01, 'C': 1000.0};{'BAL_ACC': 0.5432900432900433, 'AUC_SCORE': 0.5757575757575759}
CC;mRMR;SVC;72;4;{'gamma': 0.001, 'C': 1000.0};{'BAL_ACC': 0.5497835497835498, 'AUC_SCORE': 0.5360094451003541}
CC;mRMR;SVC;73;10;{'gamma': 0.1, 'C': 1000.0};{'BAL_ACC': 0.577922077922078, 'AUC_SCORE': 0.5245966155057064}
CC;mRMR;SVC;74;5;{'gamma': 10.0, 'C': 10.0};{'BAL_ACC': 0.5043290043290043, 'AUC_SCORE': 0.4809130263675719}
CC;mRMR;SVC;75;1;{'gamma': 0.001, 'C': 1000.0};{'BAL_ACC': 0.45238095238095233, 'AUC_SCORE': 0.42581660763478946}
CC;mRMR;SVC;76;9;{'gamma': 0.001, 'C': 1000.0};{'BAL_ACC': 0.5108225108225108, 'AUC_SCORE': 0.5265643447461629}
CC;mRMR;SVC;77;4;{'gamma': 10.0, 'C': 1.0};{'BAL_ACC': 0.5541125541125541, 'AUC_SCORE': 0.5871704053522235}
CC;mRMR;SVC;78;75;{'gamma': 1.0, 'C': 1.0};{'BAL_ACC': 0.5606060606060606, 'AUC_SCORE': 0.6025186934277843}
CC;mRMR;SVC;79;6;{'gamma': 10.0, 'C': 1.0};{'BAL_ACC': 0.5909090909090909, 'AUC_SCORE': 0.58913813459268}
CC;mRMR;SVC;80;4;{'gamma': 0.001, 'C': 1000.0};{'BAL_ACC': 0.6038961038961039, 'AUC_SCORE': 0.6375442739079104}
CC;mRMR;SVC;81;2;{'gamma': 100.0, 'C': 100.0};{'BAL_ACC': 0.5043290043290043, 'AUC_SCORE': 0.5371900826446282}
CC;mRMR;SVC;82;9;{'gamma': 0.01, 'C': 1000.0};{'BAL_ACC': 0.5411255411255411, 'AUC_SCORE': 0.5765446674537584}
CC;mRMR;SVC;83;100;{'gamma': 0.1, 'C': 100.0};{'BAL_ACC': 0.5216450216450217, 'AUC_SCORE': 0.5521448248720976}
CC;mRMR;SVC;84;30;{'gamma': 0.1, 'C': 100.0};{'BAL_ACC': 0.4696969696969697, 'AUC_SCORE': 0.4399842581660764}
CC;mRMR;SVC;85;6;{'gamma': 10.0, 'C': 10.0};{'BAL_ACC': 0.5043290043290043, 'AUC_SCORE': 0.5383707201889021}
CC;mRMR;SVC;86;6;{'gamma': 10.0, 'C': 10.0};{'BAL_ACC': 0.4242424242424242, 'AUC_SCORE': 0.41951987406532865}
CC;mRMR;SVC;87;9;{'gamma': 0.01, 'C': 100.0};{'BAL_ACC': 0.5584415584415584, 'AUC_SCORE': 0.5895316804407713}
CC;mRMR;SVC;88;30;{'gamma': 0.01, 'C': 1000.0};{'BAL_ACC': 0.551948051948052, 'AUC_SCORE': 0.5635576544667454}
CC;mRMR;SVC;89;100;{'gamma': 0.001, 'C': 100.0};{'BAL_ACC': 0.5865800865800865, 'AUC_SCORE': 0.6033057851239669}
CC;mRMR;SVC;90;15;{'gamma': 10.0, 'C': 1.0};{'BAL_ACC': 0.5281385281385281, 'AUC_SCORE': 0.5501770956316411}
CC;mRMR;SVC;91;75;{'gamma': 0.001, 'C': 1000.0};{'BAL_ACC': 0.5367965367965368, 'AUC_SCORE': 0.5548996458087367}
CC;mRMR;SVC;92;50;{'gamma': 1.0, 'C': 1.0};{'BAL_ACC': 0.5043290043290043, 'AUC_SCORE': 0.6005509641873279}
CC;mRMR;SVC;93;3;{'gamma': 10.0, 'C': 1.0};{'BAL_ACC': 0.49350649350649345, 'AUC_SCORE': 0.4565131837859111}
CC;mRMR;SVC;94;100;{'gamma': 0.1, 'C': 10.0};{'BAL_ACC': 0.5844155844155844, 'AUC_SCORE': 0.626524990161354}
CC;mRMR;SVC;95;1;{'gamma': 1000.0, 'C': 1000.0};{'BAL_ACC': 0.512987012987013, 'AUC_SCORE': 0.5222353404171586}
CC;mRMR;SVC;96;1;{'gamma': 1000.0, 'C': 1000.0};{'BAL_ACC': 0.525974025974026, 'AUC_SCORE': 0.4942935852026761}
CC;mRMR;SVC;97;7;{'gamma': 0.001, 'C': 1000.0};{'BAL_ACC': 0.5064935064935064, 'AUC_SCORE': 0.5017709563164109}
CC;mRMR;SVC;98;40;{'gamma': 0.001, 'C': 100.0};{'BAL_ACC': 0.5194805194805194, 'AUC_SCORE': 0.58913813459268}
CC;mRMR;SVC;99;75;{'gamma': 1.0, 'C': 1.0};{'BAL_ACC': 0.5194805194805194, 'AUC_SCORE': 0.5635576544667453}
CC;PCA;SVC;0;2;{'gamma': 0.1, 'C': 1.0};{'BAL_ACC': 0.5822510822510822, 'AUC_SCORE': 0.587957497048406}
CC;PCA;SVC;1;4;{'gamma': 0.001, 'C': 10.0};{'BAL_ACC': 0.551948051948052, 'AUC_SCORE': 0.5737898465171192}
CC;PCA;SVC;2;3;{'gamma': 0.1, 'C': 1.0};{'BAL_ACC': 0.525974025974026, 'AUC_SCORE': 0.5682802046438411}
CC;PCA;SVC;3;4;{'gamma': 0.01, 'C': 10.0};{'BAL_ACC': 0.43939393939393934, 'AUC_SCORE': 0.46438410074773706}
CC;PCA;SVC;4;4;{'gamma': 0.001, 'C': 100.0};{'BAL_ACC': 0.5108225108225108, 'AUC_SCORE': 0.5588351042896497}
CC;PCA;SVC;5;3;{'gamma': 0.01, 'C': 1000.0};{'BAL_ACC': 0.5649350649350648, 'AUC_SCORE': 0.5832349468713104}
CC;PCA;SVC;6;2;{'gamma': 0.1, 'C': 10.0};{'BAL_ACC': 0.5064935064935066, 'AUC_SCORE': 0.5206611570247934}
CC;PCA;SVC;7;3;{'gamma': 0.1, 'C': 1.0};{'BAL_ACC': 0.5735930735930737, 'AUC_SCORE': 0.6418732782369146}
CC;PCA;SVC;8;15;{'gamma': 0.001, 'C': 10.0};{'BAL_ACC': 0.5, 'AUC_SCORE': 0.5179063360881543}
CC;PCA;SVC;9;6;{'gamma': 0.1, 'C': 1.0};{'BAL_ACC': 0.5021645021645021, 'AUC_SCORE': 0.5186934277843368}
CC;PCA;SVC;10;4;{'gamma': 0.01, 'C': 1.0};{'BAL_ACC': 0.5389610389610389, 'AUC_SCORE': 0.5765446674537583}
CC;PCA;SVC;11;3;{'gamma': 0.1, 'C': 10.0};{'BAL_ACC': 0.538961038961039, 'AUC_SCORE': 0.5702479338842976}
CC;PCA;SVC;12;3;{'gamma': 0.1, 'C': 1000.0};{'BAL_ACC': 0.5584415584415585, 'AUC_SCORE': 0.5974025974025975}
CC;PCA;SVC;13;3;{'gamma': 0.1, 'C': 10.0};{'BAL_ACC': 0.5346320346320346, 'AUC_SCORE': 0.5572609208972845}
CC;PCA;SVC;14;9;{'gamma': 0.001, 'C': 10.0};{'BAL_ACC': 0.5584415584415584, 'AUC_SCORE': 0.5667060212514757}
