DATASET;PREPROCESS;CLASSIFIER_NAME;IDX_EXTERNAL;FEATURES_NUMBER;PARAMS;METRICS_DICT
CC;mRMR;SVC;0;9;{'gamma': 1.0, 'C': 1.0};{'BAL_ACC': 0.5570599613152805, 'AUC_SCORE': 0.5570599613152805}
CC;mRMR;SVC;1;2;{'gamma': 10.0, 'C': 1000.0};{'BAL_ACC': 0.4661508704061895, 'AUC_SCORE': 0.49903288201160545}
CC;mRMR;SVC;2;30;{'gamma': 0.1, 'C': 1.0};{'BAL_ACC': 0.48259187620889743, 'AUC_SCORE': 0.4816247582205029}
CC;mRMR;SVC;3;5;{'gamma': 100.0, 'C': 1.0};{'BAL_ACC': 0.5938104448742747, 'AUC_SCORE': 0.7485493230174081}
CC;mRMR;SVC;4;4;{'gamma': 0.01, 'C': 1000.0};{'BAL_ACC': 0.5522243713733075, 'AUC_SCORE': 0.6228239845261122}
CC;mRMR;SVC;5;40;{'gamma': 0.01, 'C': 10.0};{'BAL_ACC': 0.5222437137330754, 'AUC_SCORE': 0.4912959381044487}
CC;mRMR;SVC;6;4;{'gamma': 0.01, 'C': 1000.0};{'BAL_ACC': 0.5735009671179884, 'AUC_SCORE': 0.6266924564796905}
CC;mRMR;SVC;7;4;{'gamma': 1.0, 'C': 10.0};{'BAL_ACC': 0.6344294003868471, 'AUC_SCORE': 0.6131528046421664}
CC;mRMR;SVC;8;100;{'gamma': 0.01, 'C': 10.0};{'BAL_ACC': 0.632495164410058, 'AUC_SCORE': 0.6170212765957447}
CC;mRMR;SVC;9;9;{'gamma': 0.01, 'C': 1000.0};{'BAL_ACC': 0.61605415860735, 'AUC_SCORE': 0.6150870406189555}
CC;mRMR;SVC;10;30;{'gamma': 0.01, 'C': 1000.0};{'BAL_ACC': 0.5599613152804642, 'AUC_SCORE': 0.6189555125725339}
CC;mRMR;SVC;11;15;{'gamma': 0.001, 'C': 100.0};{'BAL_ACC': 0.40715667311411996, 'AUC_SCORE': 0.48936170212765956}
CC;mRMR;SVC;12;40;{'gamma': 0.1, 'C': 100.0};{'BAL_ACC': 0.5464216634429401, 'AUC_SCORE': 0.5396518375241779}
CC;mRMR;SVC;13;20;{'gamma': 0.01, 'C': 1000.0};{'BAL_ACC': 0.4932301740812379, 'AUC_SCORE': 0.5667311411992263}
CC;mRMR;SVC;14;1;{'gamma': 0.01, 'C': 1000.0};{'BAL_ACC': 0.5038684719535783, 'AUC_SCORE': 0.49903288201160545}
CC;mRMR;SVC;15;4;{'gamma': 0.1, 'C': 1000.0};{'BAL_ACC': 0.5599613152804642, 'AUC_SCORE': 0.6112185686653772}
CC;mRMR;SVC;16;1;{'gamma': 10.0, 'C': 1000.0};{'BAL_ACC': 0.5232108317214701, 'AUC_SCORE': 0.5415860735009671}
