DATASET;PREPROCESS;CLASSIFIER_NAME;IDX_EXTERNAL;FEATURES_NUMBER;PARAMS;METRICS_DICT
CC;mRMR;SVC;0;4;{'gamma': 10.0, 'C': 0.1};{'BAL_ACC': 0.6835106382978724, 'AUC_SCORE': 0.6648936170212767}
CC;mRMR;SVC;1;75;{'gamma': 0.01, 'C': 1000.0};{'BAL_ACC': 0.43617021276595747, 'AUC_SCORE': 0.6808510638297872}
CC;mRMR;SVC;2;6;{'gamma': 10.0, 'C': 1.0};{'BAL_ACC': 0.550531914893617, 'AUC_SCORE': 0.5851063829787234}
CC;mRMR;SVC;3;1;{'gamma': 100.0, 'C': 1.0};{'BAL_ACC': 0.45478723404255317, 'AUC_SCORE': 0.4095744680851064}
CC;mRMR;SVC;4;4;{'gamma': 1.0, 'C': 10.0};{'BAL_ACC': 0.5904255319148937, 'AUC_SCORE': 0.5478723404255319}
CC;mRMR;SVC;5;7;{'gamma': 10.0, 'C': 1.0};{'BAL_ACC': 0.425531914893617, 'AUC_SCORE': 0.5159574468085106}
CC;mRMR;SVC;6;2;{'gamma': 10.0, 'C': 1000.0};{'BAL_ACC': 0.4973404255319149, 'AUC_SCORE': 0.25531914893617025}
CC;mRMR;SVC;7;1;{'gamma': 100.0, 'C': 0.1};{'BAL_ACC': 0.5292553191489362, 'AUC_SCORE': 0.3670212765957447}
CC;mRMR;SVC;8;2;{'gamma': 10.0, 'C': 1.0};{'BAL_ACC': 0.35904255319148937, 'AUC_SCORE': 0.42021276595744683}
CC;mRMR;SVC;9;6;{'gamma': 10.0, 'C': 1.0};{'BAL_ACC': 0.46808510638297873, 'AUC_SCORE': 0.5691489361702128}
CC;mRMR;SVC;10;3;{'gamma': 10.0, 'C': 10.0};{'BAL_ACC': 0.4973404255319149, 'AUC_SCORE': 0.5372340425531915}
CC;mRMR;SVC;11;7;{'gamma': 0.01, 'C': 1000.0};{'BAL_ACC': 0.6223404255319149, 'AUC_SCORE': 0.48936170212765956}
CC;mRMR;SVC;12;2;{'gamma': 1.0, 'C': 100.0};{'BAL_ACC': 0.425531914893617, 'AUC_SCORE': 0.4521276595744681}
CC;mRMR;SVC;13;7;{'gamma': 10.0, 'C': 1.0};{'BAL_ACC': 0.4574468085106383, 'AUC_SCORE': 0.5159574468085106}
CC;mRMR;SVC;14;8;{'gamma': 0.01, 'C': 1000.0};{'BAL_ACC': 0.4867021276595745, 'AUC_SCORE': 0.40957446808510634}
CC;mRMR;SVC;15;1;{'gamma': 100.0, 'C': 1.0};{'BAL_ACC': 0.5186170212765957, 'AUC_SCORE': 0.4095744680851064}
CC;mRMR;SVC;16;4;{'gamma': 10.0, 'C': 0.1};{'BAL_ACC': 0.5691489361702128, 'AUC_SCORE': 0.5212765957446808}
