DATASET;PREPROCESS;CLASSIFIER_NAME;IDX_EXTERNAL;FEATURES_NUMBER;PARAMS;METRICS_DICT
CC;mRMR;SVC;0;20;{'gamma': 0.001, 'C': 1000.0};{'BAL_ACC': 0.5585106382978724, 'AUC_SCORE': 0.5283687943262412}
CC;mRMR;SVC;1;1;{'gamma': 1000.0, 'C': 1.0};{'BAL_ACC': 0.49468085106382975, 'AUC_SCORE': 0.3936170212765958}
CC;mRMR;SVC;2;5;{'gamma': 0.001, 'C': 1000.0};{'BAL_ACC': 0.6187943262411347, 'AUC_SCORE': 0.5709219858156028}
CC;mRMR;SVC;3;4;{'gamma': 0.01, 'C': 1000.0};{'BAL_ACC': 0.6507092198581561, 'AUC_SCORE': 0.7127659574468085}
CC;mRMR;SVC;4;5;{'gamma': 0.001, 'C': 1000.0};{'BAL_ACC': 0.4450354609929078, 'AUC_SCORE': 0.45744680851063835}
CC;mRMR;SVC;5;2;{'gamma': 100.0, 'C': 10.0};{'BAL_ACC': 0.5691489361702128, 'AUC_SCORE': 0.5780141843971631}
CC;mRMR;SVC;6;75;{'gamma': 0.001, 'C': 100.0};{'BAL_ACC': 0.45390070921985815, 'AUC_SCORE': 0.4787234042553191}
CC;mRMR;SVC;7;5;{'gamma': 1.0, 'C': 1000.0};{'BAL_ACC': 0.549645390070922, 'AUC_SCORE': 0.6382978723404256}
CC;mRMR;SVC;8;7;{'gamma': 0.1, 'C': 1000.0};{'BAL_ACC': 0.3386524822695035, 'AUC_SCORE': 0.2446808510638298}
CC;mRMR;SVC;9;75;{'gamma': 0.1, 'C': 1.0};{'BAL_ACC': 0.5673758865248226, 'AUC_SCORE': 0.673758865248227}
CC;mRMR;SVC;10;4;{'gamma': 1.0, 'C': 100.0};{'BAL_ACC': 0.5904255319148937, 'AUC_SCORE': 0.5992907801418439}
CC;mRMR;SVC;11;75;{'gamma': 0.1, 'C': 1.0};{'BAL_ACC': 0.5159574468085106, 'AUC_SCORE': 0.47872340425531923}
CC;mRMR;SVC;12;5;{'gamma': 0.01, 'C': 100.0};{'BAL_ACC': 0.5868794326241135, 'AUC_SCORE': 0.6418439716312057}
CC;mRMR;SVC;13;20;{'gamma': 0.001, 'C': 1000.0};{'BAL_ACC': 0.3280141843971631, 'AUC_SCORE': 0.4397163120567376}
CC;mRMR;SVC;14;1;{'gamma': 100.0, 'C': 1.0};{'BAL_ACC': 0.5797872340425532, 'AUC_SCORE': 0.6524822695035462}
CC;mRMR;SVC;15;2;{'gamma': 100.0, 'C': 10.0};{'BAL_ACC': 0.3404255319148936, 'AUC_SCORE': 0.3971631205673759}
CC;mRMR;SVC;16;4;{'gamma': 1.0, 'C': 100.0};{'BAL_ACC': 0.4964539007092198, 'AUC_SCORE': 0.4574468085106383}
CC;mRMR;SVC;17;5;{'gamma': 1.0, 'C': 100.0};{'BAL_ACC': 0.5070921985815603, 'AUC_SCORE': 0.4326241134751773}
CC;mRMR;SVC;18;15;{'gamma': 0.1, 'C': 1.0};{'BAL_ACC': 0.35106382978723405, 'AUC_SCORE': 0.34042553191489366}
CC;mRMR;SVC;19;15;{'gamma': 10.0, 'C': 1.0};{'BAL_ACC': 0.44680851063829785, 'AUC_SCORE': 0.3829787234042553}
CC;mRMR;SVC;20;3;{'gamma': 10.0, 'C': 1000.0};{'BAL_ACC': 0.425531914893617, 'AUC_SCORE': 0.3971631205673759}
CC;mRMR;SVC;21;15;{'gamma': 0.01, 'C': 100.0};{'BAL_ACC': 0.4219858156028369, 'AUC_SCORE': 0.5921985815602837}
CC;mRMR;SVC;22;9;{'gamma': 1.0, 'C': 1.0};{'BAL_ACC': 0.5478723404255319, 'AUC_SCORE': 0.5460992907801419}
CC;mRMR;SVC;23;30;{'gamma': 0.001, 'C': 1000.0};{'BAL_ACC': 0.5992907801418439, 'AUC_SCORE': 0.6099290780141844}
CC;mRMR;SVC;24;40;{'gamma': 1.0, 'C': 0.1};{'BAL_ACC': 0.43262411347517726, 'AUC_SCORE': 0.43262411347517726}
CC;mRMR;SVC;25;10;{'gamma': 0.1, 'C': 100.0};{'BAL_ACC': 0.5265957446808511, 'AUC_SCORE': 0.624113475177305}
CC;mRMR;SVC;26;20;{'gamma': 0.001, 'C': 100.0};{'BAL_ACC': 0.4964539007092198, 'AUC_SCORE': 0.5177304964539007}
CC;mRMR;SVC;27;30;{'gamma': 0.001, 'C': 1000.0};{'BAL_ACC': 0.475177304964539, 'AUC_SCORE': 0.5425531914893618}
CC;mRMR;SVC;28;30;{'gamma': 0.001, 'C': 1000.0};{'BAL_ACC': 0.5673758865248226, 'AUC_SCORE': 0.6453900709219857}
CC;mRMR;SVC;29;8;{'gamma': 0.01, 'C': 1000.0};{'BAL_ACC': 0.5265957446808511, 'AUC_SCORE': 0.5673758865248226}
CC;mRMR;SVC;30;9;{'gamma': 0.01, 'C': 1000.0};{'BAL_ACC': 0.43262411347517726, 'AUC_SCORE': 0.4042553191489362}
CC;mRMR;SVC;31;8;{'gamma': 0.01, 'C': 100.0};{'BAL_ACC': 0.5478723404255319, 'AUC_SCORE': 0.549645390070922}
CC;mRMR;SVC;32;1;{'gamma': 0.01, 'C': 1000.0};{'BAL_ACC': 0.3617021276595745, 'AUC_SCORE': 0.3120567375886525}
CC;mRMR;SVC;33;40;{'gamma': 0.01, 'C': 100.0};{'BAL_ACC': 0.37943262411347517, 'AUC_SCORE': 0.3687943262411348}
CC;mRMR;SVC;34;50;{'gamma': 0.01, 'C': 100.0};{'BAL_ACC': 0.5478723404255319, 'AUC_SCORE': 0.5106382978723404}
CC;mRMR;SVC;35;15;{'gamma': 0.001, 'C': 1000.0};{'BAL_ACC': 0.5691489361702128, 'AUC_SCORE': 0.549645390070922}
CC;mRMR;SVC;36;3;{'gamma': 10.0, 'C': 1000.0};{'BAL_ACC': 0.549645390070922, 'AUC_SCORE': 0.5531914893617021}
CC;mRMR;SVC;37;40;{'gamma': 1.0, 'C': 0.1};{'BAL_ACC': 0.43262411347517726, 'AUC_SCORE': 0.4822695035460993}
CC;mRMR;SVC;38;2;{'gamma': 0.1, 'C': 1000.0};{'BAL_ACC': 0.5407801418439716, 'AUC_SCORE': 0.7446808510638298}
CC;mRMR;SVC;39;30;{'gamma': 0.01, 'C': 1000.0};{'BAL_ACC': 0.4858156028368794, 'AUC_SCORE': 0.4929078014184397}
CC;mRMR;SVC;40;5;{'gamma': 10.0, 'C': 1.0};{'BAL_ACC': 0.3723404255319149, 'AUC_SCORE': 0.38652482269503546}
CC;mRMR;SVC;41;15;{'gamma': 10.0, 'C': 1.0};{'BAL_ACC': 0.48936170212765956, 'AUC_SCORE': 0.3723404255319149}
CC;mRMR;SVC;42;2;{'gamma': 100.0, 'C': 10.0};{'BAL_ACC': 0.4237588652482269, 'AUC_SCORE': 0.4113475177304965}
CC;mRMR;SVC;43;20;{'gamma': 1.0, 'C': 10.0};{'BAL_ACC': 0.475177304964539, 'AUC_SCORE': 0.5}
CC;mRMR;SVC;44;9;{'gamma': 1.0, 'C': 1.0};{'BAL_ACC': 0.4964539007092198, 'AUC_SCORE': 0.44680851063829785}
CC;mRMR;SVC;45;4;{'gamma': 10.0, 'C': 1000.0};{'BAL_ACC': 0.425531914893617, 'AUC_SCORE': 0.4929078014184397}
CC;mRMR;SVC;46;9;{'gamma': 0.001, 'C': 1000.0};{'BAL_ACC': 0.6294326241134752, 'AUC_SCORE': 0.6737588652482269}
CC;mRMR;SVC;47;50;{'gamma': 0.001, 'C': 1000.0};{'BAL_ACC': 0.5886524822695035, 'AUC_SCORE': 0.6347517730496454}
