DATASET;PREPROCESS;CLASSIFIER_NAME;IDX_EXTERNAL;FEATURES_NUMBER;PARAMS;METRICS_DICT
CC;PCA;LR;0;4;{'C': 1.0};{'AUC_SCORE': 0.5151033386327504, 'BAL_ACC': 0.5214626391096979}
CC;PCA;LR;1;10;{'C': 1.0};{'AUC_SCORE': 0.6152623211446742, 'BAL_ACC': 0.5373608903020668}
CC;PCA;LR;2;10;{'C': 1.0};{'AUC_SCORE': 0.713831478537361, 'BAL_ACC': 0.6478537360890302}
CC;PCA;LR;3;4;{'C': 0.1};{'AUC_SCORE': 0.712241653418124, 'BAL_ACC': 0.6120826709062003}
CC;PCA;LR;4;10;{'C': 10.0};{'AUC_SCORE': 0.6359300476947536, 'BAL_ACC': 0.5914149443561209}
CC;PCA;LR;5;6;{'C': 10.0};{'AUC_SCORE': 0.424483306836248, 'BAL_ACC': 0.4403815580286169}
CC;PCA;LR;6;4;{'C': 0.1};{'AUC_SCORE': 0.6184419713831478, 'BAL_ACC': 0.5643879173290938}
CC;PCA;LR;7;5;{'C': 1.0};{'AUC_SCORE': 0.6009538950715421, 'BAL_ACC': 0.4872813990461049}
CC;PCA;LR;8;10;{'C': 0.1};{'AUC_SCORE': 0.6405228758169934, 'BAL_ACC': 0.6045751633986928}
CC;PCA;LR;9;5;{'C': 10.0};{'AUC_SCORE': 0.6402027027027027, 'BAL_ACC': 0.6494932432432432}
CC;PLS;LR;0;3;{'C': 0.1};{'AUC_SCORE': 0.5119236883942766, 'BAL_ACC': 0.5079491255961844}
CC;PLS;LR;1;4;{'C': 0.01};{'AUC_SCORE': 0.6232114467408585, 'BAL_ACC': 0.582670906200318}
CC;PLS;LR;2;3;{'C': 10.0};{'AUC_SCORE': 0.6788553259141494, 'BAL_ACC': 0.5620031796502385}
CC;PLS;LR;3;3;{'C': 0.1};{'AUC_SCORE': 0.6931637519872814, 'BAL_ACC': 0.5985691573926868}
CC;PLS;LR;4;5;{'C': 0.01};{'AUC_SCORE': 0.6597774244833068, 'BAL_ACC': 0.6232114467408585}
CC;PLS;LR;5;2;{'C': 0.01};{'AUC_SCORE': 0.4054054054054054, 'BAL_ACC': 0.46740858505564387}
CC;PLS;LR;6;3;{'C': 0.01};{'AUC_SCORE': 0.5882352941176471, 'BAL_ACC': 0.5643879173290938}
CC;PLS;LR;7;5;{'C': 0.1};{'AUC_SCORE': 0.46740858505564387, 'BAL_ACC': 0.390302066772655}
